,mean_impulsivity,upps_impulsivity_survey.lack_of_perseverance,upps_impulsivity_survey.lack_of_premeditation,upps_impulsivity_survey.negative_urgency,upps_impulsivity_survey.positive_urgency,upps_impulsivity_survey.sensation_seeking,Sex,Age,EverArrested
s244,2.314730927864702,2.4,2.0,2.1666666667,1.0714285714,1.6666666666999999,1,37,False
s245,2.599837534715637,2.6,2.0,2.4166666667,2.0,1.9166666666999999,1,41,False
s246,2.9599759943712782,3.5,2.2727272727,2.75,2.0714285714,2.0,1,26,False
s252,1.9948189095013389,1.4,1.2727272726999999,1.8333333333,1.0714285714,1.9166666666999999,0,31,True
s256,2.016399191652165,1.6,1.0909090909,1.8333333333,1.1428571429,2.6666666667000003,1,26,True
s257,1.8501506296415728,1.5,1.3636363636000002,1.5,1.5714285713999998,2.3333333333,0,28,False
s259,1.8136893505351546,1.0,1.3636363636000002,1.0,1.1428571429,3.0,0,26,False
s260,1.9422861492332006,1.6,1.9090909091,1.5833333333,1.0,2.9166666667000003,1,39,False
s266,2.4577101866245368,1.2,2.2727272727,2.3333333333,2.7857142857,3.25,0,41,False
s268,1.6782122232090766,1.1,1.3636363636000002,1.0,1.0,1.3333333333,1,38,False
s270,1.99839369751214,2.1,2.1818181818,1.6666666666999999,1.1428571429,1.8333333333,1,37,True
s271,2.115123252074383,1.9,1.8181818182,2.0,1.7857142857,1.75,0,23,False
s273,1.6663952667517696,1.2,1.5454545455000002,1.3333333333,1.0714285714,1.6666666666999999,0,33,False
s274,2.0268182160227655,2.1,1.2727272726999999,1.6666666666999999,1.5714285713999998,2.0,0,41,False
s276,1.8729720590648529,1.2,1.6363636363999998,1.9166666666999999,1.2857142857,2.9166666667000003,0,39,True
s278,2.5105638454378596,2.1,1.6363636363999998,3.25,1.8571428571000002,1.75,1,37,False
s282,1.720334237579592,1.3,1.3636363636000002,1.1666666667,1.2857142857,2.0833333333,0,50,True
s283,2.798140450891099,2.2,1.9090909091,3.0833333332999997,3.0,2.5833333333,0,28,False
s284,2.0452702222288344,2.1,1.3636363636000002,1.9166666666999999,1.6428571428999998,1.9166666666999999,0,35,False
s288,1.8911392558346722,2.4,1.0,1.75,1.1428571429,1.25,0,28,False
s292,2.1940278967799873,1.7000000000000002,1.8181818182,2.25,1.2857142857,1.8333333333,1,37,False
s293,2.3991746019355435,2.6,1.7272727273,1.9166666666999999,1.5714285713999998,1.5,1,26,False
s294,2.3851974806685154,2.2,1.5454545455000002,3.0833333332999997,2.1428571429,1.4166666666999999,1,23,False
s295,1.803559650019086,1.1,1.6363636363999998,2.5,1.4285714286000002,2.1666666667,0,26,True
s296,2.217093932204036,1.8,2.0,1.6666666666999999,1.2857142857,3.0,1,32,False
s297,2.2987339947644707,1.8,1.2727272726999999,2.6666666667000003,1.7857142857,1.8333333333,1,40,False
s298,2.323498603917131,1.9,2.1818181818,2.0833333333,1.4285714286000002,2.25,1,35,False
s299,2.4060904853072165,2.1,2.0909090909,1.75,2.0714285714,2.4166666667,1,36,False
s301,1.892718543942448,1.1,1.0,2.3333333333,1.2142857143,2.5,0,27,False
s302,1.9719408290298892,1.3,1.4545454544999998,1.8333333333,2.8571428571,1.25,0,31,False
s304,2.467297668520226,3.1,1.6363636363999998,2.9166666667000003,1.2142857143,2.3333333333,1,44,False
s305,2.000788314765983,1.8,1.2727272726999999,2.5,1.1428571429,1.5833333333,0,28,False
s307,2.0998812948757433,1.2,1.4545454544999998,1.6666666666999999,1.3571428571000002,3.5833333332999997,0,28,False
s313,1.6408732863351823,1.1,1.0909090909,1.0,1.0,2.25,1,23,False
s314,2.2830263842535596,1.8,1.9090909091,1.9166666666999999,1.9285714286,2.0,0,27,False
